model,sequence_window,rmse_mean_full_ta,rmse_std_full_ta,mae_mean_full_ta,mae_std_full_ta,mape_mean_full_ta,mape_std_full_ta,r2_mean_full_ta,r2_std_full_ta,direction_accuracy_mean_full_ta,direction_accuracy_std_full_ta,runtime_seconds_mean_full_ta,runtime_seconds_std_full_ta,runtime_seconds_total_full_ta,rmse_mean_full_ta_vmd,rmse_std_full_ta_vmd,mae_mean_full_ta_vmd,mae_std_full_ta_vmd,mape_mean_full_ta_vmd,mape_std_full_ta_vmd,r2_mean_full_ta_vmd,r2_std_full_ta_vmd,direction_accuracy_mean_full_ta_vmd,direction_accuracy_std_full_ta_vmd,runtime_seconds_mean_full_ta_vmd,runtime_seconds_std_full_ta_vmd,runtime_seconds_total_full_ta_vmd,paired_outer_folds,seeds_per_fold,rmse_delta_mean,rmse_delta_std,rmse_delta_ci95_lower,rmse_delta_ci95_upper,rmse_exact_sign_flip_pvalue,direction_accuracy_delta_pp_mean,direction_accuracy_delta_pp_std,direction_accuracy_delta_pp_ci95_lower,direction_accuracy_delta_pp_ci95_upper,direction_exact_sign_flip_pvalue,runtime_seconds_delta_mean
lstm,5,13.860603433319593,2.226158808098238,11.024548740661912,1.6898199648023924,1.263288174029421,0.3090065228768766,0.8565673226429171,0.0833678186260129,0.5255802246700447,0.02247262859463918,7.488402635001694,0.43392880112918436,149.76805270003388,13.244089115840527,1.567857885917082,10.484752992759363,1.2839223031513478,1.2011889789642665,0.25704109349524207,0.8630122567915386,0.09521962845178499,0.5203552230179292,0.017166412976360054,7.631843275000574,0.4560781788880824,152.63686550001148,4,5,-0.6165143174790633,0.7738171576458942,-1.8478300946369364,0.6148014596788098,0.375,-0.5225001652115453,0.6016678444388407,-1.4798879694829128,0.4348876390598223,0.25,0.1434406399988802
cnn,5,19.26763368810161,5.711327781906872,15.874891012054423,4.595803321662544,1.8256414148081939,0.6469929738444886,0.6195556548986794,0.4370351736339588,0.5256133719522453,0.00934701942274575,6.055187760008266,0.43899387967754766,121.10375520016532,16.30467068343522,2.26339784780034,13.251859171488857,1.7825714522427214,1.5071715276595132,0.25702965447256326,0.7463013539744918,0.26421413308024805,0.516620121045746,0.016150098455526573,6.109457759998622,0.39747181225716366,122.18915519997245,4,5,-2.962963004666391,3.771696807060816,-8.964574288807963,3.038648279475181,0.25,-0.899325090649944,1.1368744120032868,-2.7083459766759836,0.9096957953760955,0.25,0.05426999999035606
lstm_cnn,20,34.257338898550714,20.838778293808154,26.307145067656588,15.139721473688859,3.13493391013392,2.1959299141974746,0.05350961085886627,0.8027225111742127,0.509978342914311,0.023633852772999755,13.835222905001137,0.9994249782414638,276.70445810002275,32.690975789599975,14.949463482209257,25.24211885164813,10.122852841312433,2.993295163086767,1.5771108612930704,0.21782373157599358,0.514259680232742,0.5179476789839652,0.030356594188404494,13.94224338499771,0.8638582224098711,278.8448676999542,4,5,-1.5663631089507404,6.456650133539499,-11.840334289948702,8.70760807204722,0.75,0.7969336069654263,0.6773967027977634,-0.2809557100498159,1.8748229239806684,0.125,0.10702047999657208
lstm_attention,20,31.883887969756664,4.350387002857364,24.972068381268393,2.9287639557375895,2.87842117381722,0.6025918178994013,0.12225086296345289,0.7447762380229928,0.5076902477966464,0.02872988344769717,18.851599544996862,2.6192777285293287,377.0319908999372,39.2361098865136,8.720314980204485,31.613889476553965,7.946264620681405,3.6853480303479804,1.1798341741544742,-0.3058328219917184,0.6056887450098923,0.5042387395977287,0.018323795206011063,20.266962375005825,1.5813101508329077,405.33924750011647,4,5,7.352221916756946,6.879263645480692,-3.594221669061243,18.298665502575133,0.25,-0.3451508198917675,1.557072233619127,-2.8228002083627204,2.132498568579185,0.625,1.4153628300089622
lstm_cnn_attention,20,45.41475993282961,18.968899007742845,35.97689755904398,14.401986821273157,4.264738198480933,2.1950651901988882,-0.5287227535752117,0.9007493177934716,0.4971497059815882,0.03622808605968761,25.186345425000763,1.6863815877850163,503.72690850001527,43.448766986600816,21.996420787349834,34.23753604880492,16.71541284202192,4.0810406005843625,2.487673277905478,-0.3939887220217096,0.9710672393792554,0.5024600052940906,0.03074706325588541,26.253328659999532,1.9027724599978553,525.0665731999907,4,5,-1.9659929462287935,5.427771329671081,-10.602788353248583,6.670802460790997,0.625,0.531029931250249,1.7326004168349318,-2.225923966294902,3.2879838287954004,0.625,1.0669832349987698
