model,fold,test_year,base_seed,arm,window,models_in_arm,unique_fits_executed_when_reached,identical_fits_reused_when_reached,conceptual_fit_seconds,conceptual_inference_seconds,conceptual_trainable_parameters,n_test,rmse,mae,mape,r2,direction_accuracy,balanced_accuracy,mcc,direction_coverage,n_direction_evaluated,n_actual_ties,n_predicted_abstentions,direction_tn,direction_fp,direction_fn,direction_tp,predicted_up_share
cnn,fold_1,2022,42,Global-All,20,1,1,0,5.266495800009579,0.19408970000222325,12017,241,23.50314112204354,19.52815611328823,1.9870611382930417,-0.11516940205539661,0.5166666666666667,0.48078139273417186,-0.05076345238122584,1.0,240,1,0,16,91,25,108,0.8291666666666667
cnn,fold_1,2022,42,Global3-All,20,3,3,0,15.781229100000928,0.568541999993613,36051,241,25.148820353397074,20.600796282749798,2.095307118424145,-0.2768040906161473,0.49583333333333335,0.4619844002529689,-0.09601294050114914,1.0,240,1,0,16,91,30,103,0.8083333333333333
cnn,fold_1,2022,42,Global-SHAP,20,1,0,1,5.266495800009579,0.19408970000222325,12017,241,23.50314112204354,19.52815611328823,1.9870611382930417,-0.11516940205539661,0.5166666666666667,0.48078139273417186,-0.05076345238122584,1.0,240,1,0,16,91,25,108,0.8291666666666667
cnn,fold_1,2022,42,Global-Spearman,20,1,0,1,5.266495800009579,0.19408970000222325,12017,241,23.50314112204354,19.52815611328823,1.9870611382930417,-0.11516940205539661,0.5166666666666667,0.48078139273417186,-0.05076345238122584,1.0,240,1,0,16,91,25,108,0.8291666666666667
cnn,fold_1,2022,42,Regime-All,20,3,3,0,9.214337300029001,0.5431863000121666,36051,241,31.004195699698283,26.76422297275908,2.7377172766015274,-0.9405729226922768,0.5708333333333333,0.545183051085658,0.10261655092335913,1.0,240,1,0,33,74,29,104,0.7416666666666667
cnn,fold_1,2022,42,Regime-SHAP,20,3,2,1,9.049063999991631,0.5505336999922292,23187,241,25.57224667723929,21.842862337496282,2.2253847343330144,-0.3201606951938263,0.5666666666666667,0.5386831564893542,0.0903663283515333,1.0,240,1,0,30,77,27,106,0.7625
cnn,fold_1,2022,42,Regime-Spearman,20,3,2,1,9.12527649999538,0.5511111000087112,23187,241,27.286125826015148,23.474755600913447,2.393843267167014,-0.5030477687100918,0.575,0.5480289508818775,0.11088824549160355,1.0,240,1,0,32,75,27,106,0.7541666666666667
