split,training_first_index,training_last_index,validation_first_index,validation_last_index,purge_rows,cnn_features,lstm_features,mask_cache_hit
crossfit_1,0,102,123.0,156.0,20.0,Low_M|Change_pct_D_lag3|Change_pct_D_lag10|Change_pct_D_lag20|Volume_D_lag3|Close_W_lag1|Return_3D|Close_to_SMA_20|Volatility_10|Volatility_60|Momentum_20|Spread_D|Body_abs_D|Lower_Shadow_D|Close_Position_D|Spread_W|Close_Position_W|Close_Position_M|Volume_Ratio_5|Volume_Ratio_20|Direction_lag1|Direction_lag2|Direction_lag3|Down_Ratio_5|Down_Ratio_20|StochK_14|WilliamsR_14|VMD_IMF_1|VMD_IMF_4|VMD_Noise_Energy_Ratio,Close_W|Close_D_lag2|Close_D_lag3|Close_D_lag60|Change_pct_D_lag2|Volume_D_lag10|Close_to_SMA_5|Volatility_5|Volatility_20|Volatility_60|ROC_20|ROC_60|Ratio_Close_D_to_W|Ratio_Close_D_to_M|Lower_Shadow_D|Spread_W|Body_W|Spread_M|Volume_Change_1D|Direction_lag1|Direction_lag2|Direction_lag3|Down_Ratio_5|Down_Ratio_10|WMA_5|StochD_3|MACD_Histogram|PlusDI_14|MinusDI_14|VMD_IMF_4,True
crossfit_2,0,136,157.0,190.0,20.0,Low_D|Open_W|High_W|Close_W|Volume_W|Change_pct_M|Close_D_lag3|Volume_D_lag3|Volume_D_lag20|Close_W_lag2|Return_10D|SMA_5|SMA_10|Close_to_SMA_10|Spread_W|Body_W|Close_Position_W|Body_M|Volume_MA_5|Volume_Change_1D|Direction_lag3|Up_Ratio_5|Up_Ratio_20|Down_Ratio_10|WMA_5|MACD_12_26|CCI_20|ADX_14|MinusDI_14|VMD_Noise_Energy_Ratio,High_D|Low_D|Close_D|Open_W|Change_pct_M|Close_D_lag1|Close_D_lag10|Close_D_lag20|Volume_D_lag5|Return_1D|Return_5D|Close_to_SMA_10|Ratio_Close_D_to_M|Ratio_Volume_D_to_W|Upper_Shadow_D|Close_Position_D|Spread_W|Body_W|Close_Position_W|Spread_M|Body_M|Volume_Change_1D|Volume_Change_5D|Direction_lag1|Direction_lag3|Up_Ratio_20|StochK_14|VMD_IMF_1|VMD_Denoised_Close|VMD_Noise_Energy_Ratio,True
crossfit_3,0,170,191.0,224.0,20.0,Open_D|Low_D|Open_M|Close_W_lag1|Return_1D|Return_3D|SMA_60|Close_to_SMA_20|Momentum_10|Momentum_20|ROC_10|ROC_20|ROC_60|Spread_D|Body_abs_D|Lower_Shadow_D|Volume_Ratio_5|Up_Ratio_20|Down_Ratio_10|WMA_60|StochD_3|MACD_12_26|WilliamsR_14|CCI_20|ADX_14|PlusDI_14|VMD_IMF_2|VMD_IMF_4|VMD_Denoised_Close|VMD_Noise_Energy_Ratio,Open_D|Low_W|Low_M|Volume_M|Close_D_lag60|Change_pct_D_lag2|Change_pct_D_lag20|Volume_D_lag3|Return_1D|Return_10D|Close_to_SMA_10|Close_to_SMA_20|Close_to_SMA_60|Volatility_60|ROC_10|Body_abs_D|Close_Position_W|Body_M|Direction_lag1|Direction_lag3|Direction_lag5|Up_Ratio_10|Down_Ratio_10|WMA_10|StochD_3|RSI_14|MACD_Signal_9|CCI_20|VMD_IMF_2|VMD_Noise_Energy_Ratio,True
final_train,0,224,,,,Open_D|Open_W|Volume_W|Change_pct_W|Close_D_lag2|Close_D_lag3|Close_D_lag60|Change_pct_D_lag10|Volume_D_lag1|Close_M_lag3|Return_5D|Return_20D|Return_60D|SMA_60|Close_to_SMA_20|Volatility_5|Volatility_60|ROC_20|Ratio_Close_D_to_W|Body_D|Body_abs_D|Upper_Shadow_D|Spread_W|Volume_Ratio_20|Volume_Change_5D|Down_Ratio_10|Down_Ratio_20|WMA_20|MACD_Histogram|VMD_IMF_1,Open_D|Close_D|Low_W|Close_W|Open_M|Low_M|Change_pct_M|Close_D_lag1|Close_D_lag5|Close_D_lag10|Volume_D_lag3|Volume_D_lag10|Close_W_lag4|Return_10D|Close_to_SMA_60|Momentum_10|Momentum_60|ROC_20|Body_D|Lower_Shadow_D|Close_Position_W|Close_Position_M|Direction_lag2|Up_Ratio_5|StochD_3|MACD_12_26|MACD_Histogram|VMD_IMF_1|VMD_IMF_2|VMD_IMF_3,True
crossfit_1,0,102,123.0,156.0,20.0,Low_M|Change_pct_D_lag3|Change_pct_D_lag10|Change_pct_D_lag20|Volume_D_lag3|Close_W_lag1|Return_3D|Close_to_SMA_20|Volatility_10|Volatility_60|Momentum_20|Spread_D|Body_abs_D|Lower_Shadow_D|Close_Position_D|Spread_W|Close_Position_W|Close_Position_M|Volume_Ratio_5|Volume_Ratio_20|Direction_lag1|Direction_lag2|Direction_lag3|Down_Ratio_5|Down_Ratio_20|StochK_14|WilliamsR_14|VMD_IMF_1|VMD_IMF_4|VMD_Noise_Energy_Ratio,Close_W|Close_D_lag2|Close_D_lag3|Close_D_lag60|Change_pct_D_lag2|Volume_D_lag10|Close_to_SMA_5|Volatility_5|Volatility_20|Volatility_60|ROC_20|ROC_60|Ratio_Close_D_to_W|Ratio_Close_D_to_M|Lower_Shadow_D|Spread_W|Body_W|Spread_M|Volume_Change_1D|Direction_lag1|Direction_lag2|Direction_lag3|Down_Ratio_5|Down_Ratio_10|WMA_5|StochD_3|MACD_Histogram|PlusDI_14|MinusDI_14|VMD_IMF_4,False
crossfit_2,0,136,157.0,190.0,20.0,Low_D|Open_W|High_W|Close_W|Volume_W|Change_pct_M|Close_D_lag3|Volume_D_lag3|Volume_D_lag20|Close_W_lag2|Return_10D|SMA_5|SMA_10|Close_to_SMA_10|Spread_W|Body_W|Close_Position_W|Body_M|Volume_MA_5|Volume_Change_1D|Direction_lag3|Up_Ratio_5|Up_Ratio_20|Down_Ratio_10|WMA_5|MACD_12_26|CCI_20|ADX_14|MinusDI_14|VMD_Noise_Energy_Ratio,High_D|Low_D|Close_D|Open_W|Change_pct_M|Close_D_lag1|Close_D_lag10|Close_D_lag20|Volume_D_lag5|Return_1D|Return_5D|Close_to_SMA_10|Ratio_Close_D_to_M|Ratio_Volume_D_to_W|Upper_Shadow_D|Close_Position_D|Spread_W|Body_W|Close_Position_W|Spread_M|Body_M|Volume_Change_1D|Volume_Change_5D|Direction_lag1|Direction_lag3|Up_Ratio_20|StochK_14|VMD_IMF_1|VMD_Denoised_Close|VMD_Noise_Energy_Ratio,False
crossfit_3,0,170,191.0,224.0,20.0,Open_D|Low_D|Open_M|Close_W_lag1|Return_1D|Return_3D|SMA_60|Close_to_SMA_20|Momentum_10|Momentum_20|ROC_10|ROC_20|ROC_60|Spread_D|Body_abs_D|Lower_Shadow_D|Volume_Ratio_5|Up_Ratio_20|Down_Ratio_10|WMA_60|StochD_3|MACD_12_26|WilliamsR_14|CCI_20|ADX_14|PlusDI_14|VMD_IMF_2|VMD_IMF_4|VMD_Denoised_Close|VMD_Noise_Energy_Ratio,Open_D|Low_W|Low_M|Volume_M|Close_D_lag60|Change_pct_D_lag2|Change_pct_D_lag20|Volume_D_lag3|Return_1D|Return_10D|Close_to_SMA_10|Close_to_SMA_20|Close_to_SMA_60|Volatility_60|ROC_10|Body_abs_D|Close_Position_W|Body_M|Direction_lag1|Direction_lag3|Direction_lag5|Up_Ratio_10|Down_Ratio_10|WMA_10|StochD_3|RSI_14|MACD_Signal_9|CCI_20|VMD_IMF_2|VMD_Noise_Energy_Ratio,False
final_train,0,224,,,,Open_D|Open_W|Volume_W|Change_pct_W|Close_D_lag2|Close_D_lag3|Close_D_lag60|Change_pct_D_lag10|Volume_D_lag1|Close_M_lag3|Return_5D|Return_20D|Return_60D|SMA_60|Close_to_SMA_20|Volatility_5|Volatility_60|ROC_20|Ratio_Close_D_to_W|Body_D|Body_abs_D|Upper_Shadow_D|Spread_W|Volume_Ratio_20|Volume_Change_5D|Down_Ratio_10|Down_Ratio_20|WMA_20|MACD_Histogram|VMD_IMF_1,Open_D|Close_D|Low_W|Close_W|Open_M|Low_M|Change_pct_M|Close_D_lag1|Close_D_lag5|Close_D_lag10|Volume_D_lag3|Volume_D_lag10|Close_W_lag4|Return_10D|Close_to_SMA_60|Momentum_10|Momentum_60|ROC_20|Body_D|Lower_Shadow_D|Close_Position_W|Close_Position_M|Direction_lag2|Up_Ratio_5|StochD_3|MACD_12_26|MACD_Histogram|VMD_IMF_1|VMD_IMF_2|VMD_IMF_3,False
crossfit_1,0,102,123.0,156.0,20.0,Low_M|Change_pct_D_lag3|Change_pct_D_lag10|Change_pct_D_lag20|Volume_D_lag3|Close_W_lag1|Return_3D|Close_to_SMA_20|Volatility_10|Volatility_60|Momentum_20|Spread_D|Body_abs_D|Lower_Shadow_D|Close_Position_D|Spread_W|Close_Position_W|Close_Position_M|Volume_Ratio_5|Volume_Ratio_20|Direction_lag1|Direction_lag2|Direction_lag3|Down_Ratio_5|Down_Ratio_20|StochK_14|WilliamsR_14|VMD_IMF_1|VMD_IMF_4|VMD_Noise_Energy_Ratio,Close_W|Close_D_lag2|Close_D_lag3|Close_D_lag60|Change_pct_D_lag2|Volume_D_lag10|Close_to_SMA_5|Volatility_5|Volatility_20|Volatility_60|ROC_20|ROC_60|Ratio_Close_D_to_W|Ratio_Close_D_to_M|Lower_Shadow_D|Spread_W|Body_W|Spread_M|Volume_Change_1D|Direction_lag1|Direction_lag2|Direction_lag3|Down_Ratio_5|Down_Ratio_10|WMA_5|StochD_3|MACD_Histogram|PlusDI_14|MinusDI_14|VMD_IMF_4,True
crossfit_2,0,136,157.0,190.0,20.0,Low_D|Open_W|High_W|Close_W|Volume_W|Change_pct_M|Close_D_lag3|Volume_D_lag3|Volume_D_lag20|Close_W_lag2|Return_10D|SMA_5|SMA_10|Close_to_SMA_10|Spread_W|Body_W|Close_Position_W|Body_M|Volume_MA_5|Volume_Change_1D|Direction_lag3|Up_Ratio_5|Up_Ratio_20|Down_Ratio_10|WMA_5|MACD_12_26|CCI_20|ADX_14|MinusDI_14|VMD_Noise_Energy_Ratio,High_D|Low_D|Close_D|Open_W|Change_pct_M|Close_D_lag1|Close_D_lag10|Close_D_lag20|Volume_D_lag5|Return_1D|Return_5D|Close_to_SMA_10|Ratio_Close_D_to_M|Ratio_Volume_D_to_W|Upper_Shadow_D|Close_Position_D|Spread_W|Body_W|Close_Position_W|Spread_M|Body_M|Volume_Change_1D|Volume_Change_5D|Direction_lag1|Direction_lag3|Up_Ratio_20|StochK_14|VMD_IMF_1|VMD_Denoised_Close|VMD_Noise_Energy_Ratio,True
crossfit_3,0,170,191.0,224.0,20.0,Open_D|Low_D|Open_M|Close_W_lag1|Return_1D|Return_3D|SMA_60|Close_to_SMA_20|Momentum_10|Momentum_20|ROC_10|ROC_20|ROC_60|Spread_D|Body_abs_D|Lower_Shadow_D|Volume_Ratio_5|Up_Ratio_20|Down_Ratio_10|WMA_60|StochD_3|MACD_12_26|WilliamsR_14|CCI_20|ADX_14|PlusDI_14|VMD_IMF_2|VMD_IMF_4|VMD_Denoised_Close|VMD_Noise_Energy_Ratio,Open_D|Low_W|Low_M|Volume_M|Close_D_lag60|Change_pct_D_lag2|Change_pct_D_lag20|Volume_D_lag3|Return_1D|Return_10D|Close_to_SMA_10|Close_to_SMA_20|Close_to_SMA_60|Volatility_60|ROC_10|Body_abs_D|Close_Position_W|Body_M|Direction_lag1|Direction_lag3|Direction_lag5|Up_Ratio_10|Down_Ratio_10|WMA_10|StochD_3|RSI_14|MACD_Signal_9|CCI_20|VMD_IMF_2|VMD_Noise_Energy_Ratio,True
final_train,0,224,,,,Open_D|Open_W|Volume_W|Change_pct_W|Close_D_lag2|Close_D_lag3|Close_D_lag60|Change_pct_D_lag10|Volume_D_lag1|Close_M_lag3|Return_5D|Return_20D|Return_60D|SMA_60|Close_to_SMA_20|Volatility_5|Volatility_60|ROC_20|Ratio_Close_D_to_W|Body_D|Body_abs_D|Upper_Shadow_D|Spread_W|Volume_Ratio_20|Volume_Change_5D|Down_Ratio_10|Down_Ratio_20|WMA_20|MACD_Histogram|VMD_IMF_1,Open_D|Close_D|Low_W|Close_W|Open_M|Low_M|Change_pct_M|Close_D_lag1|Close_D_lag5|Close_D_lag10|Volume_D_lag3|Volume_D_lag10|Close_W_lag4|Return_10D|Close_to_SMA_60|Momentum_10|Momentum_60|ROC_20|Body_D|Lower_Shadow_D|Close_Position_W|Close_Position_M|Direction_lag2|Up_Ratio_5|StochD_3|MACD_12_26|MACD_Histogram|VMD_IMF_1|VMD_IMF_2|VMD_IMF_3,True
crossfit_1,0,102,123.0,156.0,20.0,Low_M|Change_pct_D_lag3|Change_pct_D_lag10|Change_pct_D_lag20|Volume_D_lag3|Close_W_lag1|Return_3D|Close_to_SMA_20|Volatility_10|Volatility_60|Momentum_20|Spread_D|Body_abs_D|Lower_Shadow_D|Close_Position_D|Spread_W|Close_Position_W|Close_Position_M|Volume_Ratio_5|Volume_Ratio_20|Direction_lag1|Direction_lag2|Direction_lag3|Down_Ratio_5|Down_Ratio_20|StochK_14|WilliamsR_14|VMD_IMF_1|VMD_IMF_4|VMD_Noise_Energy_Ratio,Close_W|Close_D_lag2|Close_D_lag3|Close_D_lag60|Change_pct_D_lag2|Volume_D_lag10|Close_to_SMA_5|Volatility_5|Volatility_20|Volatility_60|ROC_20|ROC_60|Ratio_Close_D_to_W|Ratio_Close_D_to_M|Lower_Shadow_D|Spread_W|Body_W|Spread_M|Volume_Change_1D|Direction_lag1|Direction_lag2|Direction_lag3|Down_Ratio_5|Down_Ratio_10|WMA_5|StochD_3|MACD_Histogram|PlusDI_14|MinusDI_14|VMD_IMF_4,True
crossfit_2,0,136,157.0,190.0,20.0,Low_D|Open_W|High_W|Close_W|Volume_W|Change_pct_M|Close_D_lag3|Volume_D_lag3|Volume_D_lag20|Close_W_lag2|Return_10D|SMA_5|SMA_10|Close_to_SMA_10|Spread_W|Body_W|Close_Position_W|Body_M|Volume_MA_5|Volume_Change_1D|Direction_lag3|Up_Ratio_5|Up_Ratio_20|Down_Ratio_10|WMA_5|MACD_12_26|CCI_20|ADX_14|MinusDI_14|VMD_Noise_Energy_Ratio,High_D|Low_D|Close_D|Open_W|Change_pct_M|Close_D_lag1|Close_D_lag10|Close_D_lag20|Volume_D_lag5|Return_1D|Return_5D|Close_to_SMA_10|Ratio_Close_D_to_M|Ratio_Volume_D_to_W|Upper_Shadow_D|Close_Position_D|Spread_W|Body_W|Close_Position_W|Spread_M|Body_M|Volume_Change_1D|Volume_Change_5D|Direction_lag1|Direction_lag3|Up_Ratio_20|StochK_14|VMD_IMF_1|VMD_Denoised_Close|VMD_Noise_Energy_Ratio,True
crossfit_3,0,170,191.0,224.0,20.0,Open_D|Low_D|Open_M|Close_W_lag1|Return_1D|Return_3D|SMA_60|Close_to_SMA_20|Momentum_10|Momentum_20|ROC_10|ROC_20|ROC_60|Spread_D|Body_abs_D|Lower_Shadow_D|Volume_Ratio_5|Up_Ratio_20|Down_Ratio_10|WMA_60|StochD_3|MACD_12_26|WilliamsR_14|CCI_20|ADX_14|PlusDI_14|VMD_IMF_2|VMD_IMF_4|VMD_Denoised_Close|VMD_Noise_Energy_Ratio,Open_D|Low_W|Low_M|Volume_M|Close_D_lag60|Change_pct_D_lag2|Change_pct_D_lag20|Volume_D_lag3|Return_1D|Return_10D|Close_to_SMA_10|Close_to_SMA_20|Close_to_SMA_60|Volatility_60|ROC_10|Body_abs_D|Close_Position_W|Body_M|Direction_lag1|Direction_lag3|Direction_lag5|Up_Ratio_10|Down_Ratio_10|WMA_10|StochD_3|RSI_14|MACD_Signal_9|CCI_20|VMD_IMF_2|VMD_Noise_Energy_Ratio,True
final_train,0,224,,,,Open_D|Open_W|Volume_W|Change_pct_W|Close_D_lag2|Close_D_lag3|Close_D_lag60|Change_pct_D_lag10|Volume_D_lag1|Close_M_lag3|Return_5D|Return_20D|Return_60D|SMA_60|Close_to_SMA_20|Volatility_5|Volatility_60|ROC_20|Ratio_Close_D_to_W|Body_D|Body_abs_D|Upper_Shadow_D|Spread_W|Volume_Ratio_20|Volume_Change_5D|Down_Ratio_10|Down_Ratio_20|WMA_20|MACD_Histogram|VMD_IMF_1,Open_D|Close_D|Low_W|Close_W|Open_M|Low_M|Change_pct_M|Close_D_lag1|Close_D_lag5|Close_D_lag10|Volume_D_lag3|Volume_D_lag10|Close_W_lag4|Return_10D|Close_to_SMA_60|Momentum_10|Momentum_60|ROC_20|Body_D|Lower_Shadow_D|Close_Position_W|Close_Position_M|Direction_lag2|Up_Ratio_5|StochD_3|MACD_12_26|MACD_Histogram|VMD_IMF_1|VMD_IMF_2|VMD_IMF_3,True
crossfit_1,0,236,257.0,327.0,20.0,Change_pct_D|Open_M|Volume_M|Change_pct_M|Change_pct_D_lag5|Change_pct_D_lag10|Volume_D_lag5|Return_1D|Return_20D|Upper_Shadow_D|Lower_Shadow_D|Body_to_Range_D|Close_Position_D|Close_Position_W|Volume_Ratio_5|Volume_Change_1D|Direction_lag2|Direction_lag3|Direction_lag5|Up_Ratio_5|Up_Ratio_10|Down_Ratio_5|Down_Ratio_10|RSI_14|MACD_Signal_9|WilliamsR_14|CCI_20|MinusDI_14|VMD_IMF_3|VMD_IMF_4,Change_pct_D_lag20|Return_10D|Ratio_Close_D_to_W|Ratio_Volume_D_to_W|Body_to_Range_D|Close_Position_D|Close_Position_W|Close_Position_M|Volume_Ratio_5|Volume_Ratio_20|Volume_Change_1D|Volume_Change_5D|Volume_Change_20D|Direction_lag1|Direction_lag2|Direction_lag3|Direction_lag5|Up_Ratio_10|Down_Ratio_5|Down_Ratio_10|Down_Ratio_20|StochK_14|StochD_3|RSI_14|MACD_Signal_9|MACD_Histogram|WilliamsR_14|CCI_20|PlusDI_14|VMD_IMF_4,True
crossfit_2,0,307,328.0,397.0,20.0,Volume_M|Change_pct_D_lag2|Change_pct_D_lag20|Volume_D_lag1|Volume_D_lag20|Return_1D|Return_10D|Return_60D|ROC_10|ROC_20|Spread_D|Upper_Shadow_D|Body_to_Range_D|Close_Position_D|Close_Position_W|Close_Position_M|Volume_Ratio_5|Volume_Change_1D|Volume_Change_5D|Direction_lag1|Direction_lag2|Direction_lag3|Direction_lag5|Up_Ratio_10|Down_Ratio_5|Down_Ratio_20|StochK_14|RSI_14|CCI_20|VMD_IMF_4,Open_W|Low_M|Change_pct_D_lag5|Change_pct_D_lag10|Return_3D|Return_10D|Close_to_SMA_5|Close_to_SMA_10|Momentum_5|Momentum_10|ROC_5|ROC_20|Ratio_Volume_D_to_W|Body_D|Body_abs_D|Lower_Shadow_D|Body_to_Range_D|Body_W|Volume_Ratio_5|Direction_lag1|Direction_lag2|Direction_lag5|Up_Ratio_5|Up_Ratio_10|Down_Ratio_5|RSI_14|MACD_12_26|MACD_Signal_9|CCI_20|VMD_IMF_4,True
crossfit_3,0,377,398.0,467.0,20.0,High_D|Close_D|High_W|Volume_M|Change_pct_M|Change_pct_D_lag1|Change_pct_D_lag3|Volume_D_lag20|SMA_60|Volatility_60|ROC_5|Upper_Shadow_D|Body_to_Range_D|Close_Position_D|Spread_W|Close_Position_M|Volume_Ratio_5|Volume_Ratio_20|Up_Ratio_10|Up_Ratio_20|Down_Ratio_5|WMA_20|RSI_14|MACD_Histogram|WilliamsR_14|CCI_20|ADX_14|PlusDI_14|MinusDI_14|VMD_IMF_3,Change_pct_D|Low_W|Close_D_lag2|Change_pct_D_lag1|Change_pct_D_lag3|Change_pct_D_lag20|Close_W_lag2|Close_M_lag1|Return_1D|Return_60D|SMA_5|SMA_20|Volatility_5|ROC_60|Body_D|Volume_Ratio_5|Volume_Change_20D|Direction_lag1|Direction_lag2|Direction_lag3|Up_Ratio_10|Up_Ratio_20|Down_Ratio_5|Down_Ratio_20|WMA_20|StochK_14|CCI_20|MinusDI_14|VMD_IMF_4|VMD_Noise_Energy_Ratio,True
final_train,0,467,,,,Open_D|High_W|High_M|Low_M|Close_M|Volume_M|Change_pct_M|Close_D_lag5|Close_D_lag20|Change_pct_D_lag1|Change_pct_D_lag5|Close_M_lag1|SMA_5|SMA_10|Close_to_SMA_60|Volatility_5|ROC_20|ROC_60|Ratio_Close_D_to_M|Ratio_Volume_D_to_W|Upper_Shadow_D|Body_M|Close_Position_M|Volume_Change_5D|Direction_lag1|Direction_lag3|Down_Ratio_5|Down_Ratio_20|StochD_3|VMD_IMF_4,Open_D|High_D|Low_W|Close_W|Open_M|Low_M|Volume_M|Change_pct_M|Close_D_lag1|Change_pct_D_lag2|Change_pct_D_lag10|Volume_D_lag3|Volume_D_lag5|Close_W_lag1|Return_10D|SMA_60|Close_to_SMA_5|Volatility_20|Body_D|Lower_Shadow_D|Spread_W|Close_Position_W|Volume_MA_20|Direction_lag5|WMA_10|WMA_20|StochK_14|MACD_Signal_9|ADX_14|VMD_IMF_4,True
crossfit_1,0,236,257.0,327.0,20.0,Change_pct_D|Open_M|Volume_M|Change_pct_M|Change_pct_D_lag5|Change_pct_D_lag10|Volume_D_lag5|Return_1D|Return_20D|Upper_Shadow_D|Lower_Shadow_D|Body_to_Range_D|Close_Position_D|Close_Position_W|Volume_Ratio_5|Volume_Change_1D|Direction_lag2|Direction_lag3|Direction_lag5|Up_Ratio_5|Up_Ratio_10|Down_Ratio_5|Down_Ratio_10|RSI_14|MACD_Signal_9|WilliamsR_14|CCI_20|MinusDI_14|VMD_IMF_3|VMD_IMF_4,Change_pct_D_lag20|Return_10D|Ratio_Close_D_to_W|Ratio_Volume_D_to_W|Body_to_Range_D|Close_Position_D|Close_Position_W|Close_Position_M|Volume_Ratio_5|Volume_Ratio_20|Volume_Change_1D|Volume_Change_5D|Volume_Change_20D|Direction_lag1|Direction_lag2|Direction_lag3|Direction_lag5|Up_Ratio_10|Down_Ratio_5|Down_Ratio_10|Down_Ratio_20|StochK_14|StochD_3|RSI_14|MACD_Signal_9|MACD_Histogram|WilliamsR_14|CCI_20|PlusDI_14|VMD_IMF_4,True
crossfit_2,0,307,328.0,397.0,20.0,Volume_M|Change_pct_D_lag2|Change_pct_D_lag20|Volume_D_lag1|Volume_D_lag20|Return_1D|Return_10D|Return_60D|ROC_10|ROC_20|Spread_D|Upper_Shadow_D|Body_to_Range_D|Close_Position_D|Close_Position_W|Close_Position_M|Volume_Ratio_5|Volume_Change_1D|Volume_Change_5D|Direction_lag1|Direction_lag2|Direction_lag3|Direction_lag5|Up_Ratio_10|Down_Ratio_5|Down_Ratio_20|StochK_14|RSI_14|CCI_20|VMD_IMF_4,Open_W|Low_M|Change_pct_D_lag5|Change_pct_D_lag10|Return_3D|Return_10D|Close_to_SMA_5|Close_to_SMA_10|Momentum_5|Momentum_10|ROC_5|ROC_20|Ratio_Volume_D_to_W|Body_D|Body_abs_D|Lower_Shadow_D|Body_to_Range_D|Body_W|Volume_Ratio_5|Direction_lag1|Direction_lag2|Direction_lag5|Up_Ratio_5|Up_Ratio_10|Down_Ratio_5|RSI_14|MACD_12_26|MACD_Signal_9|CCI_20|VMD_IMF_4,True
crossfit_3,0,377,398.0,467.0,20.0,High_D|Close_D|High_W|Volume_M|Change_pct_M|Change_pct_D_lag1|Change_pct_D_lag3|Volume_D_lag20|SMA_60|Volatility_60|ROC_5|Upper_Shadow_D|Body_to_Range_D|Close_Position_D|Spread_W|Close_Position_M|Volume_Ratio_5|Volume_Ratio_20|Up_Ratio_10|Up_Ratio_20|Down_Ratio_5|WMA_20|RSI_14|MACD_Histogram|WilliamsR_14|CCI_20|ADX_14|PlusDI_14|MinusDI_14|VMD_IMF_3,Change_pct_D|Low_W|Close_D_lag2|Change_pct_D_lag1|Change_pct_D_lag3|Change_pct_D_lag20|Close_W_lag2|Close_M_lag1|Return_1D|Return_60D|SMA_5|SMA_20|Volatility_5|ROC_60|Body_D|Volume_Ratio_5|Volume_Change_20D|Direction_lag1|Direction_lag2|Direction_lag3|Up_Ratio_10|Up_Ratio_20|Down_Ratio_5|Down_Ratio_20|WMA_20|StochK_14|CCI_20|MinusDI_14|VMD_IMF_4|VMD_Noise_Energy_Ratio,True
