sideway_quantile,selected_protocol,split,regime,threshold_fit_on_development_only,rows,share,mean_return_20d,mean_adx_14,mean_absolute_semantic_score
0.3,False,development_2012_2019,bull,0.0572727079177875,797,0.42506666666666665,0.03297860651806785,24.060201730110656,0.2194696465624735
0.3,False,development_2012_2019,sideway,0.0572727079177875,563,0.3002666666666667,0.00152129655264359,18.28371045442366,0.027015769330771877
0.3,False,development_2012_2019,bear,0.0572727079177875,515,0.27466666666666667,-0.04076325491255347,28.335385498015402,0.21478822752420598
0.3,False,validation_2020_2021,bull,0.0572727079177875,147,0.30434782608695654,0.0700484834763359,25.64847784449152,0.19996567069691853
0.3,False,validation_2020_2021,sideway,0.0572727079177875,179,0.37060041407867494,0.0004394808810056676,17.252162432247427,0.028046446879363463
0.3,False,validation_2020_2021,bear,0.0572727079177875,157,0.3250517598343685,-0.06791171635927223,30.7550215080578,0.2640650745790089
0.35,True,development_2012_2019,bull,0.06879165959138125,740,0.39466666666666667,0.034369631573101696,24.38753056143161,0.23150665301865475
0.35,True,development_2012_2019,sideway,0.06879165959138125,656,0.34986666666666666,0.0018465368764105335,18.536051282501333,0.032147941302734906
0.35,True,development_2012_2019,bear,0.06879165959138125,479,0.2554666666666667,-0.04279225987671645,28.926954153311858,0.22617776803775252
0.35,True,validation_2020_2021,bull,0.06879165959138125,128,0.2650103519668737,0.07637326083183764,26.536964080590018,0.2200880836019619
0.35,True,validation_2020_2021,sideway,0.06879165959138125,210,0.43478260869565216,0.0016944489141182749,17.693527349473705,0.033321783222072215
0.35,True,validation_2020_2021,bear,0.06879165959138125,145,0.3002070393374741,-0.07184797915947863,31.549169307397367,0.28072162148324964
0.4,False,development_2012_2019,bull,0.08187973323131693,685,0.36533333333333334,0.035921075494340704,24.85362710611957,0.2440501893031715
0.4,False,development_2012_2019,sideway,0.08187973323131693,750,0.4,0.001672195603942417,18.736317029509753,0.03756938606733526
0.4,False,development_2012_2019,bear,0.08187973323131693,440,0.23466666666666666,-0.04480163714206093,29.51241126452823,0.2395266008984276
0.4,False,validation_2020_2021,bull,0.08187973323131693,108,0.2236024844720497,0.08156659632993843,27.699332456644445,0.24678443609270767
0.4,False,validation_2020_2021,sideway,0.08187973323131693,241,0.4989648033126294,0.004517956800334238,18.002896357790757,0.038764645169808244
0.4,False,validation_2020_2021,bear,0.08187973323131693,134,0.2774327122153209,-0.07600272621043469,32.51325199800333,0.29760063961806915
